  1 |   1                2 1.954e-06 |
  2 |   2                3 9.820e-07 |
  3 |   3                5 9.820e-07 |
  4 |   3                8 1.162e-06 |
  5 |   4               13 1.252e-06 |
  6 |   4               22 1.443e-06 |
  7 |   5               36 1.824e-06 |
  8 |   5               60 2.074e-06 |
  9 |   5              100 2.835e-06 |
 10 |   6              167 3.667e-06 |
 11 |   6              279 7.604e-06 |
 12 |   6              465 8.366e-06 |
 13 |   7              777 1.213e-05 |
 14 |   7             1297 2.003e-05 |
 15 |   7             2165 3.284e-05 |
 16 |   7             3614 5.294e-05 |
 17 |   8             6031 8.705e-05 |
 18 |   8            10065 1.442e-04 |
 19 |   8            16795 2.395e-04 |
 20 |   8            28024 3.803e-04 |
 21 |   9            46758 1.975e-04 |
 22 |   9            78011 3.271e-04 |
 23 |   9           129304 5.416e-04 |
 24 |   9           214870 9.446e-04 |
 25 |   9           357608 1.577e-03 |
 26 |  10           594940 2.702e-03 |
 27 |  10           990850 4.426e-03 |
 28 |  10          1659314 7.518e-03 |
 29 |  11          2758192 1.224e-02 |
 30 |  11          4589749 2.059e-02 |
 31 |  11          7650000 3.520e-02 |
 32 |  12         12734890 5.826e-02 |
 33 |  12         21216800 9.614e-02 |
 34 |  12         35352627 1.580e-01 |
 35 |  13         58896125 2.603e-01 |
 36 |  13         98140913 4.335e-01 |
 37 |  13        163522865 7.169e-01 |
 38 |  14        272472386 1.197e+00 |
 39 |  14        454023239 1.996e+00 |
 40 |  14        760427150 3.346e+00 |
 41 |  15       1270999651 5.590e+00 |
 42 |  15       2110934541 9.324e+00 |
 43 |  15       3514417172 1.548e+01 |
 44 |  16       5853053762 2.576e+01 |
 45 |  16       9742984519 4.296e+01 |
 46 |  16      16232597896 7.130e+01 |
 47 |  16      27043219354 1.187e+02 |
 48 |  17      45054813466 1.970e+02 |
 49 |  17      75073229025 3.282e+02 |
 50 |  17     125085610187 5.399e+02 |
 55 |  19    1375926129361 5.922e+03 |
