  1 |   1                2 4.128e-06 |   1                2 1.774e-06 |   1                2 1.804e-06 |   1                1 3.800e-07 |
  2 |   2                3 5.110e-07 |   2                3 5.310e-07 |   2                3 5.110e-07 |   2                3 4.000e-07 |
  3 |   3                5 6.020e-07 |   3                5 5.710e-07 |   3                5 5.710e-07 |   3                5 4.300e-07 |
  4 |   3                8 7.620e-07 |   3                8 7.220e-07 |   3                5 5.210e-07 |   3                5 4.910e-07 |
  5 |   4               13 8.620e-07 |   4                7 5.910e-07 |   4                7 7.210e-07 |   4                7 4.210e-07 |
  6 |   4               22 9.410e-07 |   4               11 7.120e-07 |   4                8 6.510e-07 |   4                7 4.710e-07 |
  7 |   5               36 1.002e-06 |   5               10 5.610e-07 |   5               10 5.610e-07 |   5                9 4.210e-07 |
  8 |   5               60 1.333e-06 |   5               15 6.320e-07 |   5               12 5.810e-07 |   5                9 4.300e-07 |
  9 |   5              100 1.753e-06 |   5               16 6.610e-07 |   5               10 5.510e-07 |   5                9 4.910e-07 |
 10 |   6              167 2.414e-06 |   6               13 9.420e-07 |   6               13 4.939e-06 |   6               11 1.142e-06 |
 11 |   6              279 3.927e-06 |   6               18 1.893e-06 |   6               15 1.012e-06 |   6               11 4.210e-07 |
 12 |   6              465 3.687e-06 |   6               19 5.810e-07 |   6               13 5.310e-07 |   6               11 3.510e-07 |
 13 |   7              777 5.651e-06 |   7               17 4.910e-07 |   7               17 5.710e-07 |   7               13 3.610e-07 |
 14 |   7             1297 9.047e-06 |   7               23 5.510e-07 |   7               20 5.410e-07 |   7               13 3.210e-07 |
 15 |   7             2165 1.958e-05 |   7               26 6.110e-07 |   7               20 5.410e-07 |   7               13 3.300e-07 |
 16 |   7             3614 2.421e-05 |   7               26 5.610e-07 |   7               16 4.510e-07 |   7               13 3.800e-07 |
 17 |   8             6031 3.979e-05 |   8               20 4.310e-07 |   8               20 4.910e-07 |   8               15 3.510e-07 |
 18 |   8            10065 6.538e-05 |   8               26 5.210e-07 |   8               23 5.010e-07 |   8               15 3.410e-07 |
 19 |   8            16795 1.091e-04 |   8               30 6.010e-07 |   8               24 5.410e-07 |   8               15 3.310e-07 |
 20 |   8            28024 1.836e-04 |   8               31 2.224e-06 |   8               21 1.463e-06 |   8               15 2.825e-06 |
 21 |   9            46737 3.240e-04 |   9               25 1.704e-06 |   9               25 1.783e-06 |   9               17 4.810e-07 |
 22 |   9            77953 5.078e-04 |   9               32 8.020e-07 |   9               29 7.620e-07 |   9               17 4.600e-07 |
 23 |   9           130031 8.474e-04 |   9               36 8.120e-07 |   9               30 8.220e-07 |   9               17 3.700e-07 |
 24 |   9           216910 1.365e-03 |   9               38 8.010e-07 |   9               28 6.210e-07 |   9               17 3.600e-07 |
 25 |   9           359648 2.314e-03 |   9               33 7.510e-07 |   9               21 5.210e-07 |   9               17 3.910e-07 |
 26 |  10           597765 3.855e-03 |  10               24 6.010e-07 |  10               24 7.720e-07 |  10               19 4.010e-07 |
 27 |  10           994988 6.347e-03 |  10               30 8.520e-07 |  10               27 6.510e-07 |  10               19 4.100e-07 |
 28 |  10          1655440 1.077e-02 |  10               32 1.623e-06 |  10               26 1.583e-06 |  10               19 5.410e-07 |
 29 |  10          2757201 1.763e-02 |  10               31 1.383e-06 |  10               24 1.253e-06 |  10               19 4.610e-07 |
 30 |  10          4592954 2.917e-02 |  10               28 1.784e-06 |  10               20 1.393e-06 |  10               19 6.310e-07 |
 31 |  11          7650959 4.923e-02 |  11               22 1.903e-06 |  11               22 1.703e-06 |  11               21 6.220e-07 |
 32 |  11         12747909 8.226e-02 |  11               27 2.264e-06 |  11               24 1.783e-06 |  11               21 7.310e-07 |
 33 |  11         21239633 1.349e-01 |  11               28 2.014e-06 |  11               22 1.744e-06 |  11               21 7.120e-07 |
 34 |  12         35390107 2.248e-01 |  12               24 1.673e-06 |  12               24 1.733e-06 |  12               23 7.210e-07 |
 35 |  12         58969489 3.785e-01 |  12               29 2.355e-06 |  12               26 1.974e-06 |  12               23 6.910e-07 |
 36 |  12         98258366 6.228e-01 |  12               30 2.786e-06 |  12               24 3.125e-06 |  12               23 6.920e-07 |
 37 |  13        163727370 1.036e+00 |  13               26 1.753e-06 |  13               26 1.834e-06 |  13               25 8.920e-07 |
 38 |  13        274223056 1.743e+00 |  13               31 2.074e-06 |  13               28 1.843e-06 |  13               25 6.810e-07 |
 39 |  13        458342701 2.916e+00 |  13               32 2.074e-06 |  13               26 1.793e-06 |  13               25 7.810e-07 |
 40 |  14        765140859 4.251e+00 |  14               29 1.834e-06 |  14               29 1.553e-06 |  14               27 8.020e-07 |
 41 |  14       1277763676 5.787e+00 |  14               34 1.783e-06 |  14               31 1.603e-06 |  14               27 6.510e-07 |
 42 |  14       2133355486 9.603e+00 |  14               35 1.783e-06 |  14               29 1.734e-06 |  14               27 6.610e-07 |
 43 |  15       3540036223 1.594e+01 |  15               32 1.844e-06 |  15               32 1.674e-06 |  15               29 6.510e-07 |
 44 |  15       5886802988 2.655e+01 |  15               37 1.914e-06 |  15               34 1.824e-06 |  15               29 6.610e-07 |
 45 |  15       9801442869 4.439e+01 |  15               39 2.074e-06 |  15               33 1.753e-06 |  15               29 6.720e-07 |
 46 |  15      16311042336 7.355e+01 |  15               37 2.013e-06 |  15               30 1.703e-06 |  15               29 6.810e-07 |
 47 |  16      27169247692 1.236e+02 |  16               32 1.853e-06 |  16               32 1.813e-06 |  16               31 6.810e-07 |
 48 |  16      45501383313 2.073e+02 |  16               37 1.412e-06 |  16               34 1.212e-06 |  16               31 6.220e-07 |
 49 |  16      72644233394 3.315e+02 |  16               37 1.262e-06 |  16               31 1.082e-06 |  16               31 5.710e-07 |
 50 |  17     117879410206 5.353e+02 |  17               33 2.234e-06 |  17               33 1.503e-06 |  17               33 8.520e-07 |
 55 |  19    1303061970606 5.888e+03 
