    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
 50 |                                |  17               33 5.610e-07 |  17               33 1.784e-06 |  17               33 1.082e-06 |
 55 |                                |  19               77 2.294e-06 |  19               37 1.123e-06 |  19               37 7.610e-07 |
 60 |                                |  22               65 1.162e-06 |  22               43 9.220e-07 |  22               43 7.620e-07 |
 65 |                                |  24               99 1.423e-06 |  24               50 8.620e-07 |  24               47 5.310e-07 |
 70 |                                |  26              161 2.064e-06 |  26               55 8.210e-07 |  26               51 5.510e-07 |
 75 |                                |  27              241 2.756e-06 |  27               61 8.510e-07 |  27               53 5.210e-07 |
 80 |                                |  28              277 3.075e-06 |  28               70 1.042e-06 |  28               55 5.710e-07 |
 85 |                                |  29              275 3.095e-06 |  29               74 9.810e-07 |  29               57 5.510e-07 |
 90 |                                |  30              258 3.677e-06 |  30               67 1.182e-06 |  30               59 6.010e-07 |
 95 |                                |  32              246 2.955e-06 |  32               68 1.122e-06 |  32               63 8.010e-07 |
100 |                                |  35              241 2.304e-06 |  35               74 5.580e-06 |  35               69 2.665e-06 |
110 |                                |  40              836 9.899e-06 |  40               85 4.188e-06 |  40               79 1.233e-06 |
120 |                                |  43             2176 1.578e-05 |  43               95 1.563e-06 |  43               85 1.042e-06 |
130 |                                |  45             3212 2.551e-05 |  45              108 1.522e-06 |  45               89 8.220e-07 |
140 |                                |  47             7013 6.107e-05 |  47              107 1.343e-06 |  47               93 7.810e-07 |
150 |                                |  49            15061 1.287e-04 |  49              111 1.363e-06 |  49               97 8.820e-07 |
160 |                                |  52            14019 1.131e-04 |  52              108 1.283e-06 |  52              103 9.810e-07 |
170 |                                |  57            23067 1.696e-04 |  57              118 1.273e-06 |  57              113 9.720e-07 |
180 |                                |  60            29841 2.153e-04 |  60              131 1.422e-06 |  60              119 9.720e-07 |
190 |                                |  62            18808 1.396e-04 |  62              135 1.482e-06 |  62              123 9.120e-07 |
200 |                                |  64              930 8.035e-06 |  64              152 5.460e-06 |  64              127 2.535e-06 |
